2026-06-19 23:34:10,405 | DEBUG | app.services.application_service | Company Name: Google
2026-06-19 23:34:10,409 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:34:10,423 | DEBUG | app.services.application_service | company CREATED: ID is 1, name=Google
2026-06-19 23:34:10,423 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Software Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': 'Remote', 'job_url': 'https://example.com/job', 'notes': 'Dream job', 'company_id': 1, 'user_id': 1}
2026-06-19 23:34:10,423 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000001FEA4D6B010>
2026-06-19 23:34:10,425 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:34:10,439 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000001FEA4D6B010>
2026-06-19 23:34:10,443 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000001FEA4834ED0>
2026-06-19 23:34:10,443 | DEBUG | app.repos.application_repository | company name after refresh: None
2026-06-19 23:34:10,443 | DEBUG | app.services.application_service | Application company ID: 1
2026-06-19 23:34:10,443 | DEBUG | app.services.application_service | Application name attr: None
2026-06-19 23:34:10,443 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000001FEA4D6B010>
2026-06-19 23:34:10,443 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001FEA4D713D0>, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'created_at': datetime.datetime(2026, 6, 19, 21, 34, 10, 427867, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': 'Dream job', 'company_id': 1, 'role': 'Software Developer', 'id': 1, 'location': 'Remote', 'job_url': 'https://example.com/job', 'updated_at': datetime.datetime(2026, 6, 19, 21, 34, 10, 427867, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 1, 'company': <app.models.company.Company object at 0x000001FEA4834ED0>}
2026-06-19 23:34:10,445 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000001FEA4834ED0>
2026-06-19 23:34:10,445 | DEBUG | app.api.applications | Route company_name: None
2026-06-19 23:41:44,679 | DEBUG | app.services.application_service | Company Name: Google
2026-06-19 23:41:44,692 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:41:44,704 | DEBUG | app.services.application_service | company CREATED: ID is 1, name=Google
2026-06-19 23:41:44,704 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Software Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': 'Remote', 'job_url': 'https://example.com/job', 'notes': 'Dream job', 'company_id': 1, 'user_id': 1}
2026-06-19 23:41:44,704 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000002480C73C4D0>
2026-06-19 23:41:44,704 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:41:44,717 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000002480C73C4D0>
2026-06-19 23:41:44,721 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000002480C709C90>
2026-06-19 23:41:44,721 | DEBUG | app.repos.application_repository | company name after refresh: Google
2026-06-19 23:41:44,721 | DEBUG | app.services.application_service | Application company ID: 1
2026-06-19 23:41:44,721 | DEBUG | app.services.application_service | Application name attr: Google
2026-06-19 23:41:44,721 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000002480C73C4D0>
2026-06-19 23:41:44,721 | DEBUG | app.api.applications | Route result dictionary: {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002480CBD13D0>, 'location': 'Remote', 'created_at': datetime.datetime(2026, 6, 19, 21, 41, 44, 704801, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'deadline': None, 'notes': 'Dream job', 'company_id': 1, 'role': 'Software Developer', 'id': 1, 'status': <ApplicationStatus.APPLIED: 'applied'>, 'job_url': 'https://example.com/job', 'updated_at': datetime.datetime(2026, 6, 19, 21, 41, 44, 704801, tzinfo=zoneinfo.ZoneInfo(key='Africa/Johannesburg')), 'follow_up_date': None, 'user_id': 1, 'company': <app.models.company.Company object at 0x000002480C709C90>}
2026-06-19 23:41:44,725 | DEBUG | app.api.applications | Route company: <app.models.company.Company object at 0x000002480C709C90>
2026-06-19 23:41:44,725 | DEBUG | app.api.applications | Route company_name: Google
2026-06-19 23:42:28,630 | DEBUG | app.services.application_service | Company Name: Google
2026-06-19 23:42:28,633 | DEBUG | app.services.application_service | Company Found: None
2026-06-19 23:42:28,644 | DEBUG | app.services.application_service | company CREATED: ID is 1, name=Google
2026-06-19 23:42:28,644 | DEBUG | app.services.application_service | FINAL APPLICATION DATA: {'role': 'Software Developer', 'status': <ApplicationStatus.APPLIED: 'applied'>, 'location': 'Remote', 'job_url': 'https://example.com/job', 'notes': 'Dream job', 'company_id': 1, 'user_id': 1}
2026-06-19 23:42:28,644 | DEBUG | app.repos.application_repository | Repository application before add: <app.models.application.Application object at 0x000001225A083E50>
2026-06-19 23:42:28,647 | DEBUG | app.repos.application_repository | has company_name property: False
2026-06-19 23:42:28,660 | DEBUG | app.repos.application_repository | Repository application after refresh: <app.models.application.Application object at 0x000001225A083E50>
2026-06-19 23:42:28,660 | DEBUG | app.repos.application_repository | Company relation refresh after refresh: <app.models.company.Company object at 0x000001225981A7D0>
2026-06-19 23:42:28,660 | DEBUG | app.repos.application_repository | company name after refresh: Google
2026-06-19 23:42:28,660 | DEBUG | app.services.application_service | Application company ID: 1
2026-06-19 23:42:28,660 | DEBUG | app.services.application_service | Application name attr: Google
2026-06-19 23:42:28,660 | DEBUG | app.api.applications | Route result: <app.models.application.Application object at 0x000001225A083E50>
